Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Previous_owners,Condition,Central_locking,Alarm,Radio,Sunroof,Magnesium_wheels,Leather_seats,Airbag,For_sale,For_exchange
Hyundai,2015,68000,فيراني,0,خصوصي,1,2,1,1600,4,5,0,0,1,1,1,1,0,0,0,1,1,1
Hyundai,2009,58000,أسود,1,خصوصي,1,2,1,1600,3,5,0,2,1,1,1,1,1,1,1,1,1,0
Opel,2013,48000,فيراني,1,خصوصي,1,0,1,1400,3,5,0,2,1,1,0,1,0,1,0,1,1,0
Mercedes,1996,7000,أبيض,0,خصوصي,0,0,0,3000,4,11,0,1,1,1,1,0,0,0,0,0,1,0
Volkswagen,1974,14000,بيج,1,خصوصي,1,0,0,1300,4,5,1,4,0,0,0,0,0,1,1,0,1,1
Volkswagen,2011,100000,أسود,1,خصوصي,1,2,1,1800,3,5,0,2,1,1,1,1,0,1,1,1,1,1
Honda,2008,61000,أسود,1,خصوصي,1,2,1,1800,3,5,0,2,1,1,1,1,1,1,1,1,1,0
Renault,2011,42000,أبيض,1,خصوصي,1,0,1,1150,3,5,0,3,1,1,0,1,0,0,0,1,1,1
Opel,2013,54000,فيراني,1,خصوصي,1,0,1,1400,3,5,1,2,0,0,0,0,0,0,0,0,1,0
Opel,2016,69000,أسود ميتالك,1,خصوصي,1,2,1,1400,4,5,0,0,1,1,1,1,0,1,0,1,1,0
Volkswagen,2006,60000,فضي,1,خصوصي,1,2,1,2000,3,5,0,2,1,1,1,1,1,1,1,1,1,0
Volkswagen,2016,112000,فضي,1,خصوصي,1,2,1,1400,3,5,1,0,1,1,1,1,0,1,0,1,1,1
Hyundai,2008,44000,أبيض,1,خصوصي,1,2,1,1400,3,5,0,2,1,1,1,1,1,0,0,1,1,0
Opel,2014,59000,أبيض,1,خصوصي,1,0,1,1400,3,5,0,2,1,1,0,1,0,1,0,1,1,1
Skoda,2012,80000,رصاصي,0,خصوصي,1,1,1,1600,2,5,0,1,1,1,0,1,0,1,0,1,1,0
Skoda,2003,35000,أبيض,0,عمومي,1,0,1,1900,3,5,0,2,0,1,0,0,0,1,0,0,1,0
Hyundai,1999,19000,سكني,1,عمومي,1,0,1,1600,4,5,0,3,1,1,0,1,0,0,0,0,1,0
Hyundai,2011,56500,جيشي,1,خصوصي,1,0,1,1600,3,5,0,2,1,1,1,1,0,1,0,1,1,0
Kia,2008,46000,فضي,1,خصوصي,1,2,1,1600,2,5,0,1,1,1,1,1,0,1,1,1,1,0
Hyundai,2014,85000,أبيض,1,خصوصي,1,2,1,1400,4,5,1,1,1,1,1,1,0,1,1,1,1,0
Hyundai,2009,45000,ذهبي,1,خصوصي,1,0,1,1400,3,5,0,2,1,1,1,1,0,0,0,1,1,0
Opel,2009,37000,رمادي,1,خصوصي,1,0,1,1400,3,5,0,3,1,1,1,1,0,1,0,1,1,1
Skoda,2013,120000,أبيض عاجي,0,خصوصي,1,2,1,2000,3,5,0,3,1,1,1,1,0,1,1,1,1,0
Hyundai,2005,45000,سكني,1,خصوصي,1,2,1,1600,4,5,1,3,1,1,1,1,1,1,1,1,1,0
